approach,train_score,val_score,test_score,n_features,processing_time
PATX,0.9142116427056328,0.9168041480084845,0.8906691800188501,11,242.8944857120514
TSFRESH,0.8555267499410795,0.8208814518029696,0.808435438265787,10,1.6773743629455566
CNN,0.9361300966297431,0.9278812161206693,0.9276625824693685,100,803.4720339775085
