dataset,display_name,task,n_channels,n_timepoints,transform_prop_raw,transform_prop_zscore,transform_prop_derivative,transform_prop_fft_power,n_folds,mean_start,mean_end,std_start,std_end,position_std,dominant_transform,transform_consistency,dominant_channel,channel_consistency
pamap2,PAMAP2,classification,36,100,0.6407766990291263,0.009708737864077669,0.009708737864077669,0.33980582524271846,5.0,0.0,0.28200000000000003,0.0,0.07730459236035075,0.03865229618017538,fft_power,1.0,18.0,0.8
emotions,Emotions,classification,2,254,0.5625,0.0625,0.15625,0.21875,5.0,0.36141732283464567,0.921259842519685,0.05761498623598966,0.1496062992125984,0.07424574752039372,raw,1.0,1.0,0.6
mitbih,MITBIH,classification,1,100,0.1134020618556701,0.29896907216494845,0.4845360824742268,0.10309278350515463,5.0,0.5860000000000001,0.6940000000000001,0.008000000000000007,0.050833060108555345,0.026076809620810618,derivative,0.8,0.0,1.0
remc,REMC,classification,5,200,0.56,0.18461538461538463,0.04923076923076923,0.20615384615384616,5.0,0.071,0.46399999999999997,0.08811356308764275,0.09297311439335566,0.07350170066059697,raw,0.8,0.0,1.0
azt1d,AZT1D,regression,3,24,0.35294117647058826,0.058823529411764705,0.4117647058823529,0.17647058823529413,,,,,,,,,,
mimic,MIMIC,classification,8,24,0.4,0.16666666666666666,0.2,0.23333333333333334,5.0,0.2,0.6083333333333333,0.26666666666666666,0.3339577484918979,0.2815507651087692,zscore,0.4,4.0,0.6
svd,SVD,classification,1,1000,0.6333333333333333,0.03333333333333333,0.1,0.23333333333333334,5.0,0.2632,0.6682,0.20309052168922115,0.2729200615564932,0.2148391491325545,raw,1.0,0.0,1.0
