subject_id,approach,score,processing_time,n_features
1,PATX,18.46399198310191,489.8962140083313,15
1,TSFRESH,25.81673372075236,1.5951809883117676,11
1,CATCH22,25.520816629241203,2.528615951538086,23
1,CNN,22.330298753748025,33.574448108673096,73
10,PATX,26.199500893051454,464.89440393447876,14
10,TSFRESH,36.07977748532552,1.7284810543060303,11
10,CATCH22,35.46411772272778,2.7863993644714355,23
10,CNN,32.878573727452995,11.187439918518066,73
11,PATX,30.068649612074836,469.1166560649872,14
11,TSFRESH,38.833358162852306,1.8232111930847168,11
11,CATCH22,38.21265158314634,3.0264580249786377,23
11,CNN,33.1474735822025,49.15464115142822,73
12,PATX,24.35171667449158,505.57985615730286,15
12,TSFRESH,30.65735681242334,1.787200927734375,11
12,CATCH22,30.85263510793959,2.9330050945281982,23
12,CNN,28.997562700649947,6.8674328327178955,73
13,PATX,17.997947184686527,472.76594400405884,14
13,TSFRESH,23.669771832905024,1.8657779693603516,11
13,CATCH22,23.80028803297297,2.9084298610687256,23
13,CNN,21.992622525670754,25.916911125183105,73
15,PATX,27.0208734941561,419.4985930919647,12
15,TSFRESH,34.04698641736177,2.238534927368164,11
15,CATCH22,34.0996300448888,3.618644952774048,23
15,CNN,31.981990514743703,28.92477011680603,73
16,PATX,24.756575076979317,338.84095096588135,10
16,TSFRESH,32.602137723632794,1.7490389347076416,11
16,CATCH22,32.22985698881093,2.7997889518737793,23
16,CNN,29.0034766908426,32.79757523536682,73
17,PATX,27.07900803301933,581.4387001991272,17
17,TSFRESH,33.87411387026145,1.857499122619629,11
17,CATCH22,34.5905256459114,3.0232739448547363,23
17,CNN,32.35049937126647,19.938076972961426,73
18,PATX,25.110327775248248,468.89047718048096,14
18,TSFRESH,31.566598920517656,1.5002858638763428,11
18,CATCH22,32.36354778420616,2.475908041000366,23
18,CNN,30.423924357975974,25.748788118362427,73
19,PATX,19.96394479376168,448.40828013420105,13
19,TSFRESH,25.71674903614891,1.8947410583496094,11
19,CATCH22,25.80533900727105,3.0956199169158936,23
19,CNN,23.840067447848565,27.373653888702393,73
2,PATX,25.20250525624973,503.3332040309906,15
2,TSFRESH,36.44834694343786,1.6071348190307617,11
2,CATCH22,35.43648060910737,2.6023619174957275,23
2,CNN,33.98402119068699,23.462465047836304,73
20,PATX,21.024376315411672,663.7741477489471,19
20,TSFRESH,28.107365788365577,1.8826019763946533,11
20,CATCH22,28.109791787367566,3.084810972213745,23
20,CNN,27.091845241941,5.95031213760376,73
21,PATX,29.97493704121626,781.2145693302155,22
21,TSFRESH,39.795413639806085,1.891787052154541,11
21,CATCH22,39.279689455009375,3.141752004623413,23
21,CNN,36.12997539537375,33.974557876586914,73
22,PATX,22.024512923606487,409.37376594543457,12
22,TSFRESH,28.566044082825858,1.6114580631256104,11
22,CATCH22,28.484568699266624,2.630652904510498,23
22,CNN,27.60190967089902,19.242244958877563,73
23,PATX,24.609855277878488,247.3157458305359,7
23,TSFRESH,30.717782810044632,1.9834070205688477,11
23,CATCH22,30.752838674701565,3.096923351287842,23
23,CNN,29.162234363744105,13.668663024902344,73
24,PATX,23.1168647709849,398.79526591300964,12
24,TSFRESH,31.797003616616294,1.4443519115447998,11
24,CATCH22,31.501349357483374,2.3268179893493652,23
24,CNN,29.6021140503512,14.699963092803955,73
25,PATX,31.435134760752323,361.3043110370636,11
25,TSFRESH,39.75110115686285,1.58872389793396,11
25,CATCH22,39.803097295750895,2.53942608833313,23
25,CNN,39.046768707338316,6.905412912368774,73
3,PATX,20.524127334695965,639.5165240764618,19
3,TSFRESH,27.99559544349559,1.6535978317260742,11
3,CATCH22,27.929693418505387,2.647171974182129,23
3,CNN,25.224802267095424,32.21547508239746,73
4,PATX,29.1123986619162,270.86079382896423,8
4,TSFRESH,39.47462544709696,1.804612159729004,11
4,CATCH22,37.676494237464624,2.9289069175720215,23
4,CNN,35.95777960417606,8.53606390953064,73
5,PATX,23.50506145530782,437.08497405052185,13
5,TSFRESH,30.386381561296538,1.8700480461120605,11
5,CATCH22,30.479083609251433,3.0505471229553223,23
5,CNN,28.01147552754886,19.304750680923462,73
6,PATX,19.46704513909039,612.2080478668213,18
6,TSFRESH,28.12133295890794,1.8110768795013428,11
6,CATCH22,27.13807425243583,2.9289581775665283,23
6,CNN,26.830173598618984,15.453006744384766,73
7,PATX,23.04891245951585,304.8454678058624,9
7,TSFRESH,30.269307803686093,1.8789308071136475,11
7,CATCH22,29.93318452534848,3.065948247909546,23
7,CNN,29.054627630013606,11.603350162506104,73
8,PATX,24.458023639244733,479.8918569087982,15
8,TSFRESH,36.31492560517806,1.1685030460357666,11
8,CATCH22,36.311507680876396,1.8440909385681152,23
8,CNN,33.197657638096246,8.07555890083313,73
9,PATX,29.041131147066288,562.1880843639374,17
9,TSFRESH,40.50040170275351,1.5151288509368896,11
9,CATCH22,40.434427892611346,2.4582598209381104,23
9,CNN,36.378087283074684,35.498170137405396,73
