dataset,approach,fold,score,processing_time,n_features
pamap2,PATX,1,0.9949631925610228,1588.7205319404602,8
pamap2,PATX,2,0.9965129794653235,2580.304857969284,10
pamap2,PATX,3,0.9975461707348573,2471.934991836548,10
pamap2,PATX,4,0.9969004261913987,2244.082892179489,8
pamap2,PATX,5,0.9965129794653235,2003.0139698982239,9
pamap2,CNN,1,0.9444659692625598,291.35364723205566,520
pamap2,CNN,2,0.9376210771018985,183.15080094337463,520
pamap2,CNN,3,0.9549270308665891,199.903559923172,520
pamap2,CNN,4,0.9320676740281545,203.2412130832672,520
pamap2,CNN,5,0.9594472426707994,262.14935278892517,520
pamap2,MiniRocket,1,0.9681002195531447,408.2246367931366,9996
pamap2,MiniRocket,2,0.96474234792716,408.17559790611267,9996
pamap2,MiniRocket,3,0.9659046881053855,417.61560583114624,9996
pamap2,MiniRocket,4,0.9657755391966938,405.9561331272125,9996
pamap2,MiniRocket,5,0.9679710706444531,405.98395013809204,9996
pamap2,catch22,1,0.8497998191915278,81.63564801216125,22
pamap2,catch22,2,0.8522536484566705,89.60322093963623,22
pamap2,catch22,3,0.852511946274054,78.0818612575531,22
pamap2,catch22,4,0.8561281157174222,84.7197937965393,22
pamap2,catch22,5,0.8504455637349865,82.61467814445496,22
pamap2,tsfresh,1,0.7488053725946016,10.633687019348145,10
pamap2,tsfresh,2,0.7463515433294589,10.39242172241211,10
pamap2,tsfresh,3,0.7612036678290068,10.692049026489258,10
pamap2,tsfresh,4,0.7485470747772182,10.81427526473999,10
pamap2,tsfresh,5,0.7383443109905722,10.359533071517944,10
pamap2,RDST,1,0.9814025571483921,435.8790400028229,6000
pamap2,RDST,2,0.9762366008007233,446.481094121933,6000
pamap2,RDST,3,0.9780446855224073,456.9438660144806,6000
pamap2,RDST,4,0.9815317060570838,449.79939365386963,6000
pamap2,RDST,5,0.9790778767919411,458.2969899177551,6000
