variant,accuracy_mean,accuracy_std,time_mean,time_std,features_mean,features_std
Baseline,0.9172034564021996,0.002670856245090336,57.707945227622986,11.15969693660736,7.0,1.0
No Transforms,0.9245875883739199,0.006912804399057337,112.55826437473297,8.827157616615295,12.0,2.0
No Shift Tolerance,0.9277297721916732,0.008012568735271008,84.44548034667969,16.71243643760681,9.5,1.5
Relative Only,0.9221523959151611,0.014689709347996849,72.1558825969696,28.214911460876465,8.0,3.0
Linear Regression,0.7931657501963865,0.027258444619010225,498.12149345874786,103.93957245349884,15.0,3.0
Neural Network Final,0.2,0.0,94.36044955253601,38.26842546463013,12.0,3.0
