dataset,variant,fold,score,n_features,time,metric,test_subject
azt1d_s20,nsga2,1,28.011726222124704,16,57.82807612419128,rmse,
azt1d_s20,parallel,1,28.174575311140277,12,8.775014162063599,rmse,
azt1d_s21,resampling,1,40.746694643105705,7,23.12518310546875,rmse,
azt1d_s21,aggregate,1,42.16782978224925,11,41.039998054504395,rmse,
azt1d_s21,pattern,1,41.79408992282868,15,68.17304491996765,rmse,
azt1d_s21,decision_tree,1,40.285363314011434,14,22.27406001091003,rmse,
azt1d_s21,n_trials_1000,1,39.89557337033912,14,200.09402108192444,rmse,
azt1d_s21,raw_only,1,40.61710096198253,11,40.30604314804077,rmse,
azt1d_s21,nsga2,1,40.95267341601271,11,35.666778802871704,rmse,
azt1d_s21,parallel,1,40.85573375346976,12,8.876054763793945,rmse,
azt1d_s22,resampling,1,32.83731282927858,9,28.603259325027462,rmse,
azt1d_s22,aggregate,1,33.50478280961589,20,81.85653901100159,rmse,
azt1d_s22,pattern,1,32.121650550240204,19,86.41234683990479,rmse,
azt1d_s22,decision_tree,1,32.16409795075512,8,10.458590984344482,rmse,
azt1d_s22,n_trials_1000,1,31.217658354571427,12,156.06566214561462,rmse,
azt1d_s22,raw_only,1,31.70812309881668,11,36.81993222236633,rmse,
azt1d_s22,nsga2,1,32.12226057677501,20,73.21913599967957,rmse,
azt1d_s22,parallel,1,32.11895937291921,12,8.555687189102173,rmse,
azt1d_s24,resampling,1,31.580334584959903,16,60.0859899520874,rmse,
azt1d_s24,aggregate,1,31.702693669698657,14,51.18386101722717,rmse,
azt1d_s24,pattern,1,31.22193023372818,14,57.05254912376404,rmse,
azt1d_s24,decision_tree,1,32.90120533668104,27,51.111090898513794,rmse,
azt1d_s24,n_trials_1000,1,31.80808125037724,7,76.77984309196472,rmse,
azt1d_s24,raw_only,1,32.537370117650724,9,27.67141103744507,rmse,
azt1d_s24,nsga2,1,31.509474369723108,13,38.24692487716675,rmse,
